recv_timestamp,hardware_timestamp,transport_latency_seconds
1765400710.9135706,1928.138010907,0.008817672729492188
1765400710.9156735,1928.14804075,0.0008907318115234375
1765400710.917738,1928.14804075,0.002955198287963867
1765400710.9197998,1928.14804075,0.00501704216003418
1765400710.9218736,1928.14804075,0.00709080696105957
1765400710.9239287,1928.14804075,0.009145975112915039
1765400710.9259822,1928.158040955,0.0011992454528808594
1765400710.9280355,1928.158040955,0.0032525062561035156
1765400710.9300888,1928.158040955,0.005305767059326172
1765400710.932157,1928.158040955,0.0073740482330322266
1765400710.934214,1928.158040955,0.009431123733520508
1765400710.9362397,1928.168041515,0.0014562606811523438
1765400710.9383008,1928.168041515,0.0035173892974853516
1765400710.9403732,1928.168041515,0.005589723587036133
1765400710.9424438,1928.168041515,0.007660388946533203
1765400710.9445133,1928.168041515,0.009729862213134766
1765400710.9465697,1928.1780408,0.001786947250366211
1765400710.9486244,1928.1780408,0.0038416385650634766
1765400710.9506829,1928.1780408,0.005900144577026367
1765400710.9527647,1928.1780408,0.007982015609741211
1765400710.9548223,1928.1780408,0.010039567947387695
1765400710.9568782,1928.188042259,0.0020940303802490234
1765400710.9589496,1928.188042259,0.0041654109954833984
1765400710.9610047,1928.188042259,0.006220579147338867
1765400710.963058,1928.188042259,0.008273839950561523
1765400710.9651117,1928.198042869,0.0003268718719482422
1765400710.9671671,1928.198042869,0.0023822784423828125
1765400710.9692233,1928.198042869,0.0044384002685546875
1765400710.9712784,1928.198042869,0.006493568420410156
1765400710.973332,1928.198042869,0.008547067642211914
1765400710.9753857,1928.208041008,0.00060272216796875
1765400710.9774544,1928.208041008,0.002671480178833008
1765400710.9795246,1928.208041008,0.004741668701171875
1765400710.9815657,1928.208041008,0.0067827701568603516
1765400710.983622,1928.208041008,0.008839130401611328
1765400710.9856963,1928.218042078,0.0009121894836425781
1765400710.9877527,1928.218042078,0.0029685497283935547
1765400710.9898264,1928.218042078,0.005042314529418945
1765400710.9918804,1928.218042078,0.007096290588378906
1765400710.9939516,1928.218042078,0.00916743278503418
1765400710.9960082,1928.228040275,0.0012259483337402344
1765400710.9980621,1928.228040275,0.0032799243927001953
1765400711.000131,1928.228040275,0.005348682403564453
1765400711.002201,1928.228040275,0.00741887092590332
1765400711.0042567,1928.228040275,0.009474515914916992
1765400711.006338,1928.238042331,0.0015535354614257812
1765400711.0084186,1928.238042331,0.003634214401245117
1765400711.0104759,1928.238042331,0.0056915283203125
1765400711.0125299,1928.238042331,0.007745504379272461
1765400711.0145524,1928.238042331,0.009768009185791016
1765400711.0166273,1928.248040478,0.0018448829650878906
1765400711.0186985,1928.248040478,0.003916025161743164
1765400711.0207527,1928.248040478,0.0059702396392822266
1765400711.0228078,1928.248040478,0.008025407791137695
1765400711.0248842,1928.248040478,0.010101795196533203
1765400711.02696,1928.258041239,0.0021767616271972656
1765400711.0290318,1928.258041239,0.004248619079589844
1765400711.0311007,1928.258041239,0.006317615509033203
1765400711.0331688,1928.258041239,0.008385658264160156
1765400711.035238,1928.268041789,0.00045418739318847656
1765400711.0373063,1928.268041789,0.0025224685668945312
1765400711.0393882,1928.268041789,0.004604339599609375
1765400711.0414515,1928.268041789,0.006667613983154297
1765400711.0435054,1928.268041789,0.008721590042114258
1765400711.04555,1928.278041122,0.0007669925689697266
1765400711.0476189,1928.278041122,0.0028357505798339844
1765400711.0496871,1928.278041122,0.004904031753540039
1765400711.051743,1928.278041122,0.0069599151611328125
1765400711.0537977,1928.278041122,0.009014606475830078
1765400711.0558546,1928.288043668,0.0010688304901123047
1765400711.0579123,1928.288043668,0.0031266212463378906
1765400711.0599873,1928.288043668,0.005201578140258789
1765400711.0620418,1928.288043668,0.007256031036376953
1765400711.0640948,1928.288043668,0.009309053421020508
1765400711.0661635,1928.298040289,0.0013811588287353516
1765400711.0682192,1928.298040289,0.0034368038177490234
1765400711.0702736,1928.298040289,0.0054912567138671875
1765400711.0723486,1928.298040289,0.007566213607788086
1765400711.0744057,1928.298040289,0.009623289108276367
1765400711.07648,1928.308041699,0.0016961097717285156
1765400711.0785592,1928.308041699,0.003775358200073242
1765400711.0806293,1928.308041699,0.005845546722412109
1765400711.082683,1928.308041699,0.007899284362792969
1765400711.0847363,1928.308041699,0.009952545166015625
1765400711.0868056,1928.318041031,0.0020225048065185547
1765400711.0888593,1928.318041031,0.004076242446899414
1765400711.0909402,1928.318041031,0.0061571598052978516
1765400711.0930195,1928.318041031,0.008236408233642578
1765400711.0950756,1928.328040164,0.00029349327087402344
1765400711.097129,1928.328040164,0.0023469924926757812
1765400711.099184,1928.328040164,0.0044019222259521484
1765400711.1012592,1928.328040164,0.0064771175384521484
1765400711.1033323,1928.328040164,0.008550167083740234
1765400711.1053894,1928.338041757,0.0006055831909179688
1765400711.107446,1928.338041757,0.002662181854248047
1765400711.1095026,1928.338041757,0.004718780517578125
1765400711.1115499,1928.338041757,0.006766080856323242
1765400711.1136045,1928.338041757,0.008820772171020508
1765400711.1156595,1928.348042112,0.0008754730224609375
1765400711.1177137,1928.348042112,0.0029296875
1765400711.1197667,1928.348042112,0.004982709884643555
1765400711.1218216,1928.348042112,0.007037639617919922
1765400711.1238768,1928.348042112,0.00909280776977539
1765400711.12595,1928.358040653,0.0011675357818603516
1765400711.1280046,1928.358040653,0.0032219886779785156
1765400711.130072,1928.358040653,0.005289554595947266
1765400711.1321406,1928.358040653,0.007358074188232422
1765400711.1341944,1928.358040653,0.009411811828613281
1765400711.1362474,1928.368041938,0.0014634132385253906
