command_timestamp,command_width,measurement_timestamp,measured_width
60732.978969744,0.04000047438044552,60732.978478763,0.07
60733.029030877,0.04313295157727174,60732.978478763,0.07
60733.079194629,0.046194227773770025,60733.028978163,0.04000047438044552
60733.129353533,0.049101711689595894,60733.079512499,0.04259268910055546
60733.179516202,0.051783848581348414,60733.129777856,0.045673160115545765
60733.22967587,0.054173807840872085,60733.18003604,0.04861334818739371
60733.279840707,0.05621272314468744,60733.230305322,0.05133604914438747
60733.329995683,0.0578495168449453,60733.280463785,0.05377798599074798
60733.380114474,0.05904337844297445,60733.330618123,0.055877424175517
60733.430172752,0.0597655225859728,60733.380771287,0.05758339222681282
60733.480228603,0.05999984171230645,60733.430919946,0.05885325803687306
60733.530284324,0.05974060114537329,60733.48101771,0.05965423597061972
60733.580339591,0.05899420863373217,60733.531164441,0.0599648606129596
60733.630396178,0.05777904530704724,60733.581314093,0.059777942120331884
60733.680453266,0.05612509483685648,60733.631516705,0.059099227911118574
60733.730510336,0.05407318649307117,60733.681747566,0.05794482073148681
60733.780567297,0.05167396527728291,60733.731966039,0.05634310654708846
60733.830624527,0.04898662322965879,60733.782132417,0.05433507134956272
60733.880633416,0.0460803885468669,60733.832335713,0.05196986281314779
60733.930773633,0.043016224441528646,60733.882488463,0.04930222247603679
60733.980924734,0.03987669075619431,60733.932658887,0.04641058679422891
60734.031084698,0.036739662264225856,60733.982883643,0.04336212824465825
60734.081233932,0.03368406722490758,60734.033143675,0.04022608418556245
60734.131295471,0.030789809886353846,60734.083312729,0.037084258130655544
60734.181452297,0.02811807894606843,60734.133485529,0.034017159290097895
60734.231630421,0.02573981641507986,60734.183736442,0.031095257186827048
60734.281757343,0.023717055839529152,60734.234063533,0.02839489084405049
60734.33182038,0.022099059059507424,60734.284246136,0.025983993057224024
60734.381879041,0.02092303524522739,60734.334407135,0.02392292419864457
60734.43205984,0.020216722059778865,60734.384579798,0.022258288258401614
60734.482242269,0.020001061850681245,60734.434758325,0.021035951947971223
60734.532412842,0.020281309866662423,60734.48498902,0.02028379613081055
60734.582598127,0.02105070470492601,60734.535206299,0.020021208003586005
60734.632697761,0.022287651484211687,60734.585381522,0.02025510402041477
60734.682881813,0.023965641102372502,60734.635562568,0.020978952481048238
60734.733045505,0.026040439728521783,60734.6857371,0.022175179228505933
60734.783201703,0.028460834121950218,60734.736031708,0.023814448062666686
60734.833366194,0.031167602902907234,60734.786203411,0.02585465898128555
60734.883556341,0.034094825086308546,60734.836429851,0.028249820556571027
60734.933719794,0.037166897682525644,60734.886603792,0.03093515556084526
60734.983887003,0.040309422530483315,60734.936775075,0.0338484165576526
60735.034067546,0.04344510271046321,60734.986947596,0.036915197368283754
60735.084241651,0.04649495798976419,60735.037100746,0.04005866909680004
60735.13465422,0.04939700139508516,60735.087455809,0.04319801111231715
60735.184815976,0.05205126010617598,60735.137665057,0.04626111045839347
60735.235087017,0.05441161961589412,60735.187826108,0.049166461674038694
60735.285251896,0.05640945509663102,60735.238027389,0.05184628449961705
60735.335430218,0.05800093976505297,60735.28822116,0.05422737953586339
60735.385523843,0.059144481745398214,60735.338413411,0.05625800929802355
60735.435611565,0.05981480929552295,60735.388675798,0.057884973911046786
60735.485667336,0.05999556289562001,60735.438829581,0.05906517806965786
60735.535742653,0.059682644784098,60735.488985456,0.05977042960311076
60735.585799983,0.058883988723387744,60735.539149079,0.059984419005999205
60735.635845008,0.05761964729564237,60735.589338889,0.05976347734007159
60735.685907829,0.05591999477167785,60735.639526442,0.059085774128769294
60735.736255117,0.05381443627200909,60735.689710453,0.057933270701691186
60735.786340053,0.051377549404992714,60735.739854352,0.05633440146664438
60735.836377757,0.048662233845630676,60735.790029849,0.05433090694777845
60735.886441014,0.045731766024742035,60735.84022418,0.051967409129502866
60735.936504261,0.04265980712435889,60735.890433112,0.049306754940327345
60735.986563967,0.03952241191612318,60735.940619736,0.04641175541176759
60736.036650483,0.03639514760977716,60735.990811216,0.04335833869156942
60736.086922721,0.03334594792983152,60736.041038995,0.040220533615266806
60736.136999681,0.030473164870539846,60736.091208275,0.03708125663960535
60736.187083246,0.027835355896981707,60736.141460983,0.03402171302635802
60736.237166319,0.025498102111965466,60736.191646289,0.03109964473806785
60736.287411198,0.023513360787420817,60736.241869704,0.028403245411899612
60736.337534817,0.021941826674336855,60736.292167557,0.025995343926377982
60736.387650558,0.020817281635067218,60736.342454786,0.02393674922056174
60736.437966212,0.020165646371254457,60736.392709959,0.02227236489844898
60736.488486146,0.020008951622139247,60736.442974384,0.02105110299971799
60736.538695382,0.0203511205722134,60736.493145017,0.020301713079552926
60736.58880995,0.021179146483486063,60736.543428791,0.020042273051990515
60736.638928175,0.02247283676196268,60736.593651672,0.02027854652420837
60736.689210331,0.024206460330493493,60736.643895129,0.02100610158782205
60736.73934578,0.026326636996563894,60736.69425055,0.022203185471435356
60736.789481998,0.028785360077287728,60736.744443835,0.02384317652991389
60736.839744541,0.031528917805361704,60736.794622796,0.025886636945043413
60736.88985775,0.03447423508265201,60736.84489194,0.02827917395462251
60736.940238641,0.03757292438726385,60736.895095252,0.030963801266196484
60736.990498002,0.040724657541935334,60736.945288964,0.03387529821679976
60737.040595997,0.04384841305350465,60736.995486325,0.03693392383398513
60737.090885571,0.04688833885635705,60737.045738742,0.040071626248557965
60737.141178655,0.04975687719371668,60737.095982115,0.04320773904493884
60737.191398387,0.05237873031406186,60737.14622466,0.046263775338662605
60737.241621548,0.05469324484520104,60737.196544744,0.04916382106283629
60737.291877358,0.05664387043793445,60737.24673361,0.05183723138539071
60737.342099958,0.05817960349740418,60737.29703508,0.054218087371664316
60737.392259802,0.0592626475732939,60737.347273535,0.0562422846528048
60737.442567062,0.05986940902875315,60737.397581779,0.05786341928086511
60737.492793423,0.059981122131521694,60737.447819023,0.059040858406661484
60737.542889566,0.05959801188445456,60737.498018137,0.05974476222930345
60737.592949069,0.05873128679342934,60737.548218533,0.05995803046345019
60737.643033231,0.057401475427606756,60737.598468269,0.059675317203311526
60737.693089787,0.0556428221244174,60737.648716128,0.058903412086799
60737.74314936,0.053497980683540274,60737.698973029,0.057654170199250815
60737.793206738,0.05102009841529368,60737.74920949,0.05596883951506218
60737.843264764,0.04827020582301483,60737.799377605,0.05388678364154183
60737.89334646,0.04531476761841241,60737.849552369,0.05145521721785931
60737.943405442,0.04222945335055332,60737.899775644,0.04873971885427446
60737.99346265,0.039089224564308814,60737.950018619,0.045805521914948945
60738.043522029,0.03597133972249935,60738.000219501,0.042728364587676246
60738.093580861,0.032952921299114944,60738.050522736,0.039581138828927526
60738.143662477,0.03010718889445247,60738.100712065,0.036444186663877824
60738.193721164,0.027506969577248165,60738.150913112,0.033398159568088205
60738.243779758,0.02521509513208288,60738.201092434,0.030513528463371443
60738.293838432,0.02328812334495387,60738.251362715,0.027865487036997334
60738.343897627,0.021773604300242524,60738.301581044,0.025521871327436017
60738.393957132,0.02070893555937177,60738.351839466,0.023537706079857845
60738.444006619,0.02012047478256589,60738.40208042,0.021963291631361112
60738.49406545,0.020022509167492937,60738.45233465,0.020837758092198996
60738.544123606,0.020417602936704266,60738.502539164,0.020188861292371886
60738.59418027,0.02129596712824056,60738.552726364,0.020033476798212407
60738.644244148,0.022636153918911696,60738.602949563,0.020375036158261983
60738.694305211,0.02440487638940371,60738.653150276,0.021205374156274222
60738.744362158,0.02655834763480833,60738.703374141,0.02250365450228467
60738.794428281,0.029044032112944013,60738.753666799,0.024237411517253296
60738.844496631,0.0318003290325244,60738.803943115,0.026363650189134204
60738.894580382,0.03476001417034273,60738.85411613,0.0288274606882501
60738.944642425,0.037847800821518014,60738.904396458,0.03157441940886385
60738.994752524,0.040991728831107174,60738.95464316,0.03452712299895695
60739.044814101,0.04410814607618908,60739.004835038,0.03761764646796547
60739.094877655,0.04712327440858479,60739.055097472,0.04076710177734014
60739.144958172,0.049963482988853454,60739.105290168,0.04389868388229078
60739.195115339,0.05256131643570401,60739.155478981,0.04693303404222124
60739.245186144,0.0548442691288689,60739.205808157,0.04979599475258131
60739.295307189,0.0567623949729017,60739.256003292,0.0524125731174669
60739.345375151,0.05826441954136205,60739.306181554,0.054723572661686905
60739.395447947,0.05931557137311539,60739.356363383,0.05666666871601169
60739.445505275,0.05988962473251665,60739.406599455,0.058196875178720416
60739.495638832,0.0599725578959108,60739.456782,0.059271963855957725
60739.545699397,0.05956203008460679,60739.50703809,0.05986836975246694
60739.595861759,0.05866635937885173,60739.557224074,0.0599697967506822
60739.645922938,0.057311261973309026,60739.607577998,0.05957416439177111
60739.696032836,0.055526932979432515,60739.657781391,0.05868929759525631
60739.746158649,0.05335785610765132,60739.708079911,0.05733926519665112
60739.796324217,0.05085611277931962,60739.758379398,0.05555931173457727
